Rank,Coffee Shop,Country,Address
48,Mulano Coffee Shop,Ecuador,"Av. Loja y Juan León Mera, Piñas, Ecuador"
49,La Cabra,Denmark,"Møntergade 3A, 1116 København K, Denmark"
50,Birch Coffee,England,"Bayfield Rd, Portree IV51 9EL, United Kingdom"
51,Ruli Coffee,Republic of Korea,"31 Toegye-ro 20-gil, Jung District, Seoul, South Korea"
52,Atte For Coffee,Guatemala,"OG Cuatro, Vía 6, 3-56, zona 4, Cdad. de Guatemala, Guatemala"
53,Single O,Australia,"60/64 Reservoir St, Surry Hills NSW 2010, Australia"
54,Rubia Coffee Roasters,Rwanda,"KG 2 Ave, Kigali, Rwanda"
55,Bob Coffee Lab,Romania,"Piața Charles de Gaulle 3, Bucharest, Romania"
56,Unfiltered coffee,Ireland,"205B Emmet Rd, Inchicore, Dublin 8, D08 EN29, Ireland"
57,Tomorrow Coffee Roasters,Taiwan,"20號, Lane 198, Gancheng St, Nantun District, Taichung City, Taiwan 408"
58,Ca Passe Creme,Switzerland,"Bd de Grancy 49, 1006 Lausanne, Switzerland"
59,Eco Mapu,Chile,"Julio Zegers 530, 4930000 Villarrica, Araucanía, Chile"
60,43.12 Coffee,Bulgaria,"Varna CenterOdesos, ul. ""Preslav"" 15, 9000 Varna, Bulgaria"
61,Fika &amp; Co. Cafe,Thailand,"1788 Singha Complex Bang Kapi, Huai Khwang, Bangkok 10310, Thailand"
62,Ditta Artigianale Specialty Coffee Roasters,Italy,"Corso Magenta, 31, 20123 Milano MI, Italy"
63,Café Nativo,Honduras,"4R25+3GG, Tegucigalpa, Francisco Morazán, Honduras"
64,Caferatto,Colombia,"Cra. 23c #62-72, Manizales, Caldas, Colombia"
65,Kross Coffee Roasters,Greece,"73, Tsouderon Str., Chania, Crete PC 73134, Greece"
66,Prevail Coffee,USA,"39, Dexter Ave suite 102, Montgomery, AL 36104, USA"
67,MOK Coffee,Belgium,"Rue Antoine Dansaert, 196, 1000 Brussels, Belgium"
68,Azura &#8211; The Coffee Company,69,"Way Number: 9203 Building Number: 790, Muscat, Oman"
70,The Golden Pig,Honduras,"Blvr. Los Próceres, 21100 San Pedro Sula, Cortés, Honduras"
71,Little Victories Coffee,Canada,"Boulevard Los Próceres, 21100 San Pedro Sula, Cortés, Honduras"
72,Push x Pull,USA,"821 SE Stark St, Portland, OR 97214, USA"
73,Galani Coffee,Ethiopia,"Jacros - Salite Mehret Rd, Addis Ababa, Ethiopia"
74,Wake up,Chile,"Errázuriz 944, Punta Arenas, Chile"
75,Bouche,Belgium,"Rue de Namur 4, 1000 Brussels, Belgium"
76,Café de Reyes,Guatemala,"14 Avenida 5-19A, Quetzaltenango, 09001, Guatemala"
77,Savaya Coffee Market,USA,"6540 E Tanque Verde Rd, Tucson, AZ 85715, USA"
78,Coffee Stopover Black,Taiwan,"403, Taiwan, Taichung City, West District, Fulong St, 7號1樓"
79,Fuku,Netherlands,"Bos en Lommerweg 136 HS, 1055 ED Amsterdam, Netherlands"
80,The Miners Coffee,Czech Republic,"Železná 490/14, 110 00 Staré Město, Prague, Czech Republic"
81,Cupping Café,Brazil,"R. Wisard, 171 - Vila Madalena, São Paulo - SP, 05434-080, Brazil"
82,Coffea Guatemala,Guatemala,"7A, Calle Poniente 15, Antigua Guatemala 03001, Guatemala"
83,D·Origen Coffee Roasters Barcelona,Spain,"Carrer de Casp, 48, L'Eixample, 08010 Barcelona, Spain"
84,Coffee Stain,Malaysia,"D4-G3-01, Solaris Dutamas, Kuala Lumpur, Malaysia, 50480"
85,The Dude Specialty Coffee,Macedonia,"Apostle Guslarot 16, Skopje 1000, North Macedonia"
86,Story and Soil Coffee,USA,"387 Capitol Ave, Hartford, CT 06106, USA"
87,Exploradores,Mexico,"Av. Santa Fe 601, Lomas de Santa Fe, Contadero, Cuajimalpa de Morelos, 05310 Cuajimalps, CDMX, Mexico"
88,The Folks,Portugal,"R. dos Sapateiros 111, 1100-619 Lisbon, Portugal"
89,"Casa Barista &#038; Co.,Casco Historico",Dominican Republic,"Casa Barista & Co.,Casco Historico, Santo Domingo, Dominican Republic"
90,Cypher Urban Roastery,UAE,"Al Quoz Industrial Area 3, Street 6b, Complex 76, Warehouse no. 2 - Dubai - United Arab Emirates"
91,Cafetano Coffee Roasters,Honduras,"Av. República de Costa Rica, 11101, Tegucigalpa, Francisco Morazán, Honduras"
92,Coffee Five,Brazil,"R. da Quitanda, 86 - quiosque 01 - Centro, Rio de Janeiro - RJ, 20091-902, Brazil"
93,Kima Coffee,Spain,"C. Carretería, 67, Distrito Centro, 29008 Malaga, Spain"
94,Negro,Argentina,"Suipacha 637, C1006, Buenos Aires, Argentina"
95,Metric,EEUU,"2021 W Fulton St, Chicago, IL 60612, United States"
96,El Terrible Juan Café,México,"C. Colonias 440, Col Americana, Americana, 44160 Guadalajara, Jal., Mexico"
97,Flat White Specialty Coffee,Qatar,"Student Center, Doha, Qatar"
98,Cafeoteca,Costa Rica,"C. 31, San José, Barrio Escalante, 10101, San Jose, Costa Rica"
99,Surry Hills Coffee,Argentina,"Arévalo 2877, C1426, Buenos Aires, Argentina"
100,Vacation Coffee,Australia,"1 Exhibition St, Melbourne VIC 3000, Australia"
