Rank,Coffee Shop,Country,Address
43,Punto Café,Peru,"C. Piura 1251, Miraflores, 15074, Perú"
44,Famosta Café,Colombia,"Av. Juan B Gutierrez #17-55, Pereira, Risaralda, Colombia"
45,Negro Cueva de Café,Argentina,"Suipacha 637, C1006 Cdad. Autónoma de Buenos Aires, Argentina"
46,Libertario Coffee Roasters &#8211; Calle 70a,Colombia,"Cl. 70a # 5 - 37, Bogotá, Colombia"
47,Surry Hills Coffee Palermo,Argentina,"Arévalo 2877, C1426 Cdad. Autónoma de Buenos Aires, Argentina"
48,Azahar Café,Colombia,"Cl 93b #13-91, Bogotá, Colombia"
49,D&#8217;Sala Caffe,Peru,"Jr Gonzalez Prada 543 Surquillo, Peru"
50,Cafe Folks,Chile,"O'Higgins 624, Puerto Varas, Región de Los Lagos, Chile"
51,Café Melosa,Venezuela,"Centro San Ignacio, C. Elice, Caracas 1060, Distrito Capital, Venezuela"
52,Florencia y Fortunata Specialty Coffee,Peru,"Suecia 332, Cusco 08000, Perú"
53,Roaster Specialty Coffee,Bolivia,"Calle Rene Moreno Bloque E N20 San Miguel, La Paz, Bolivia 20"
54,Stratto Bodega de Café + Coffee Shop,Ecuador,"Vizcaya, y E13-18, Quito 170525, Ecuador"
55,Raiz Coffee,Peru,"Calle Porta 152, Miraflores, 15074, Perú"
56,Café Buena Vista,Bolivia,"Calle los robles, C. los Claveles, Santa Cruz de la Sierra, Bolivia"
57,Buho Nomada,Chile,"Avenida Lago Peñuelas 1987, Región de Los Lagos, Puerto Montt, Chile"
58,Colo Coffee,Colombia,"Cra. 6a #117-26, Usaquén, Bogotá, Cundinamarca, Colombia"
59,Atmosférico Cafetería de Especialidad,Ecuador,"CC Diana Quintana 2. Locales 3-4 PB, Av. Samborondón, Samborondón 092301, Ecuador"
60,Indera Experience Cafetería de especialidad,Ecuador,"Junto a, Av. Lateral de Paso Angel F. Rojas, Loja 110102, Ecuador"
61,Kofi &amp; Co,Brazil,"Rua Alexandre Dumas, 1518 - Chácara Santo Antônio (Zona Sul), São Paulo - SP, 04717-003, Brasil"
62,TIPICA CAFÉ Milla de Oro,Colombia,"Cl. 5 Sur #42-17, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia"
63,Coffee Busters Roastery,Peru,"Av. Dos de Mayo 412, San Isidro, 15073, Perú"
64,Mato Café,Brazil,"R. Francisco Otaviano, 67 - Loja 13 - Ipanema, Rio de Janeiro - RJ, 22080-040, Brasil"
65,Cafetería Tunki Katari,Peru,"Av. San Borja Sur 610, Lima 15037, Perú"
66,KOF &#8211; king of the fork,Brazil,"R. Artur de Azevedo, 1317 - Pinheiros, São Paulo - SP, 05404-013, Brasil"
67,Cafe Ao Leu,Brazil,"R. Alm. Gonçalves, 50 - Loja L - Copacabana, Rio de Janeiro - RJ, 22060-040, Brasil"
68,Primates Tostadores,Chile,"Calle 30 Oriente 1562, Región del Maule, Talca, Chile"
69,Lucca Cafes Especiais,Brazil,"Alameda Pres. Taunay, 40 - Batel, Curitiba - PR, 80420-180, Brasil"
70,María Julio Coffee Shop,Colombia,"Cl. 29 #25-38, Manga, Cartagena de Indias, Provincia de Cartagena, Bolívar, Colombia"
71,Kaweh Coffee Shop,Ecuador,"XQXX+FCC, entre Bolivar &, Bernardo Valdivieso, Loja, Ecuador"
72,Puma Café,Peru,"Sargento Enrique Villar 101, Lima 15074, Perú"
73,Dagadá,Ecuador,"24 de Mayo, Loja, Ecuador"
74,SOMOS Specialty Coffee,Bolivia,"Km 7 73, Sucre, Bolivia"
75,Coffeestylers,Colombia,"Calle 57 #19-35, Bogotá, Colombia 110111"
76,Amanecer Coffee Store,Venezuela,"C.C. Plaza Mayor, Av. Via la Tapa de Pieda, Araure 3303, Portuguesa, Venezuela"
77,ARTEMISA Coffee &amp; Cocktail Bar,Chile,"Tajamar 287, R. Metropolitana, Las Condes, Chile"
78,Alto Tostado Coffee Roasters &#8211; Santa Cruz,Bolivia,"Patio Design Lifestyle Centr, Av. Busch y, Santa Cruz de la Sierra, Bolivia"
79,Eleganza Coffee Roasters,Chile,"589R+4J Melipeuco, Melipeuco, Región de La Araucanía"
80,Ciclos Café,Peru,"Jr. Colina 111, Lima, 15063, Perú"
81,BlackSoul Café Brewing Lab,Bolivia,"A.Quijarro 1746, Cochabamba, Bolivia"
82,MARRÓN CAFÉ,Venezuela,"6X5J+GHJ, Av. 107, Valencia 2001, Carabobo, Venezuela"
83,Laurino Coffee,Colombia,"630004, Cl. 3 Nte. #17-34, Armenia, Quindío, Colombia"
84,Cafe Nexos,Venezuela,"entre calles 16 y 17 Avenida 5, Mérida 5115, Mérida, Venezuela"
85,9 Gramos Café,Colombia,"Cra. 17 #10-07, Pereira, Risaralda, Colombia"
86,MANVA Natural Market,Venezuela,"Calle Miranda edificio Elvira, Local 5 Chacao, planta baja, Caracas 1060, Miranda, Venezuela"
87,Rita Specialty Coffee Armenia,Argentina,"Armenia 1595, C1414 Cdad. Autónoma de Buenos Aires, Argentina"
88,Café Black Mamba,Chile,"Eliodoro Yáñez 1228, local 104, R. Metropolitana, Providencia, Chile"
89,Kaffe&#8217;i,Paraguay,"Palma 438, Asunción 001013, Paraguay"
90,Elevaria Café,Peru,"Av. Fátima 285, Trujillo, 13008, Perú"
91,Casa Berracos,Uruguay,"Estero Bellaco 2835, 11600 Montevideo, Departamento de Montevideo, Uruguay"
92,Senzuru Coffee,Peru,"Las Palmeras 205, San Isidro 15073, Perú"
93,Anella Café,Venezuela,"6XCP+25H, Av. 104 La Victoria, Valencia 2001, Carabobo, Venezuela"
94,Kajue Café,Argentina,"Guatemala 4665, C1425 Cdad. Autónoma de Buenos Aires, Argentina"
95,Varietale Chapinero,Colombia,"Cra. 4a #57-02, Bogotá, Colombia"
96,Ninina,Argentina,"Gorriti 4738, C1414BJL Cdad. Autónoma de Buenos Aires, Argentina"
97,Guanacoffee,Peru,"Sta Isabel 140, Pueblo Libre, 15084, Perú"
98,Barista Coffee House,Argentina,"Ocampo 1404, S2000EYD Rosario, Santa Fe, Argentina"
99,Café Bauda,Chile,"Pedro Montt 431, Castro, Región de Los Lagos, Chile"
100,Calu&#8217;s,Argentina,"Conesa 3705, C1429 C1429ALQ, Cdad. Autónoma de Buenos Aires, Argentina"
